id,price_doc
30474,5595967.0
30475,8186872.0
30476,5580132.5
30477,5858320.5
30478,5173793.5
30479,9402830.0
30480,4346741.5
30481,4330282.5
30482,5018873.5
30483,4902403.5
30484,6660756.0
30485,5127427.5
30486,3786178.0
30487,4015135.0
30488,6420209.0
30489,6355037.5
30490,23187238.0
30491,20900540.0
30492,6092142.5
30493,14595036.0
30494,6890027.5
30495,10636790.0
30496,9425694.0
30497,8676168.0
30498,4694769.0
30499,8185277.0
30500,11089042.0
30501,7080501.5
30502,3208573.5
30503,6941063.0
30504,5727208.0
30505,12447650.0
30506,3286273.0
30507,4808839.5
30508,5568650.5
30509,7624456.0
30510,9238532.0
30511,6630840.5
30512,6622024.0
30513,4438485.5
30514,3682002.0
30515,9762690.0
30516,5954784.5
30517,11283986.0
30518,9192336.0
30519,4635598.0
30520,7509264.0
30521,6016497.5
30522,7566944.0
30523,6616230.5
30524,10547420.0
30525,12118732.0
30526,5045794.0
30527,5205115.5
30528,6931352.5
30529,6735380.0
30530,6273444.0
30531,14681130.0
30532,4711285.5
30533,10325750.0
30534,6950996.5
30535,9454314.0
30536,5988398.5
30537,11695724.0
30538,5132291.5
30539,10469344.0
30540,9645786.0
30541,6075715.5
30542,2252292.5
30543,5862402.5
30544,7267705.0
30545,8554378.0
30546,4292737.5
30547,9505282.0
30548,4586459.5
30549,5158430.0
30550,12285062.0
30551,5027122.0
30552,1980286.125
30553,7371906.0
30554,10908380.0
30555,6194141.5
30556,9235006.0
30557,7402608.0
30558,9643924.0
30559,6232379.0
30560,5986818.5
30561,7195173.5
30562,11978880.0
30563,5507276.0
30564,7076289.0
30565,7035047.5
30566,7566109.5
30567,2153736.25
30568,10540588.0
30569,9621224.0
30570,6590069.5
30571,8043961.0
30572,4968914.0
30573,6483458.5
30574,6409093.5
30575,7227878.5
30576,5173695.5
30577,4479765.5
30578,3283303.0
30579,7349707.5
30580,4600874.0
30581,5514895.0
30582,12887222.0
30583,7032822.5
30584,4492193.5
30585,3038990.75
30586,8890280.0
30587,5897655.0
30588,8285242.5
30589,7254763.0
30590,11852018.0
30591,5481056.5
30592,6986216.5
30593,8817318.0
30594,6668215.0
30595,5511679.0
30596,6909424.5
30597,6509474.5
30598,9606660.0
30599,12039730.0
30600,4996815.0
30601,6089890.0
30602,1930454.75
30603,12524550.0
30604,4731130.0
30605,6570608.5
30606,23670098.0
30607,6851409.5
30608,8660038.0
30609,6393637.5
30610,3027470.5
30611,5596567.0
30612,7425907.5
30613,10025212.0
30614,17227128.0
30615,7967171.5
30616,5753257.0
30617,9752770.0
30618,5200159.5
30619,4158844.75
30620,2877110.75
30621,8897924.0
30622,8585160.0
30623,6358475.0
30624,6747805.5
30625,8054628.5
30626,6607293.5
30627,7333637.0
30628,6401436.0
30629,5328582.5
30630,4655925.5
30631,6330622.5
30632,4124489.25
30633,5872928.5
30634,11904208.0
30635,9649386.0
30636,5451536.0
30637,9556872.0
30638,6106216.5
30639,7329113.5
30640,4608373.5
30641,8721088.0
30642,6813724.0
30643,8011782.0
30644,9606660.0
30645,7382420.0
30646,5336354.0
30647,4903266.0
30648,24359006.0
30649,2538527.75
30650,4947970.5
30651,3419440.25
30652,4443552.0
30653,8473658.0
30654,4639936.5
30655,12940336.0
30656,4000111.75
30657,6485724.0
30658,10549276.0
30659,4824037.0
30660,8691044.0
30661,6700331.0
30662,8305853.5
30663,13954386.0
30664,12004246.0
30665,6359432.0
30666,2610569.25
30667,4245270.5
30668,8946864.0
30669,4924247.0
30670,2621048.5
30671,7683224.0
30672,16114116.0
30673,10979936.0
30674,12110596.0
30675,2252292.5
30676,6879335.0
30677,4254204.0
30678,20577896.0
30679,6033471.0
30680,5154795.5
30681,2379875.5
30682,8817952.0
30683,9844018.0
30684,4972722.5
30685,7714238.5
30686,9625650.0
30687,5052432.0
30688,4429376.5
30689,15683756.0
30690,26077288.0
30691,4650948.0
30692,6382988.0
30693,12014322.0
30694,5323287.5
30695,7339857.5
30696,6829896.0
30697,12262878.0
30698,7676775.0
30699,5840620.5
30700,5081583.5
30701,9606660.0
30702,6304306.0
30703,3848404.75
30704,11893928.0
30705,8825336.0
30706,26520568.0
30707,3689032.25
30708,14194056.0
30709,6338901.5
30710,7732615.0
30711,4671899.5
30712,4110403.25
30713,6201732.5
30714,6445916.5
30715,3843886.25
30716,9717538.0
30717,6558010.0
30718,9214552.0
30719,15829954.0
30720,7406989.0
30721,4443755.5
30722,7326288.0
30723,6497295.0
30724,12619796.0
30725,6718957.0
30726,11688748.0
30727,9788464.0
30728,10457524.0
30729,3540798.25
30730,6098722.0
30731,6559050.0
30732,4455057.5
30733,9819402.0
30734,7218748.0
30735,5568422.5
30736,5572311.0
30737,7102625.5
30738,6297267.5
30739,4798132.5
30740,7264631.5
30741,11156706.0
30742,4258218.5
30743,5044396.0
30744,9370188.0
30745,6842394.0
30746,5643889.0
30747,17442958.0
30748,16385162.0
30749,5087243.5
30750,6733380.5
30751,3353722.75
30752,7574003.5
30753,10377610.0
30754,5787123.0
30755,4787859.5
30756,6306950.0
30757,5398331.0
30758,10861970.0
30759,6281864.5
30760,4598006.5
30761,9762652.0
30762,6816398.0
30763,12236246.0
30764,6317313.5
30765,6109526.0
30766,3701264.25
30767,10203640.0
30768,4513786.5
30769,7159767.5
30770,6343810.5
30771,3022057.0
30772,8518852.0
30773,8138747.0
30774,6159861.0
30775,12429092.0
30776,6103171.0
30777,6365675.0
30778,9486404.0
30779,6414494.5
30780,7808536.5
30781,6896092.5
30782,4941438.5
30783,5796819.0
30784,3660885.25
30785,5522061.5
30786,4335108.5
30787,6284957.5
30788,5883702.5
30789,7439308.0
30790,6458652.0
30791,10169860.0
30792,7305245.0
30793,10740010.0
30794,12925712.0
30795,10859294.0
30796,12644772.0
30797,14600298.0
30798,2841077.75
30799,10454656.0
30800,16247528.0
30801,6144550.0
30802,23391392.0
30803,3114167.5
30804,3735000.75
30805,15584332.0
30806,7226083.0
30807,6106846.5
30808,10524512.0
30809,4839963.0
30810,11144906.0
30811,4497596.0
30812,5453206.0
30813,5231078.5
30814,2617909.25
30815,3852980.0
30816,7909010.5
30817,1989644.75
30818,7935202.0
30819,7888723.0
30820,5160664.5
30821,24357296.0
30822,9286340.0
30823,8477782.0
30824,3546751.5
30825,5068529.5
30826,10599750.0
30827,5809823.5
30828,5956377.5
30829,5525053.0
30830,8762104.0
30831,6953582.0
30832,5934032.0
30833,5226374.0
30834,4245379.0
30835,7872144.0
30836,6571386.0
30837,5380611.0
30838,4372362.0
30839,6186023.5
30840,11351908.0
30841,11966654.0
30842,7136234.5
30843,5466000.0
30844,6847680.5
30845,9985356.0
30846,4444750.5
30847,6110938.0
30848,8449100.0
30849,4365114.5
30850,4149365.25
30851,4954068.5
30852,6775578.0
30853,4470036.5
30854,5852777.5
30855,7216686.0
30856,9198316.0
30857,2384663.0
30858,4353751.5
30859,6153178.5
30860,5986713.0
30861,8702486.0
30862,6509723.5
30863,6180303.5
30864,6461805.0
30865,9581496.0
30866,6755939.0
30867,5760447.5
30868,8615976.0
30869,5543087.0
30870,4729619.0
30871,8598082.0
30872,5086132.5
