id,price_doc
30474,5463273.71817
30475,8163489.3084
30476,5432995.37858
30477,5719367.84391
30478,5030539.06468
30479,9132248.47259
30480,4180719.31454
30481,4313300.71185
30482,4952810.04699
30483,4721630.97144
30484,6557672.9082
30485,4989596.2256
30486,3693056.07833
30487,3463647.97451
30488,6086543.13997
30489,6155587.75492
30490,23433793.5849
30491,19079619.0564
30492,5528861.83063
30493,13147008.5804
30494,6440156.04651
30495,10877082.9653
30496,8604913.45152
30497,8447309.92518
30498,4529341.84201
30499,7710001.46173
30500,10788122.3306
30501,6931204.2762
30502,2747428.79068
30503,6427805.04333
30504,5956477.5099
30505,12449956.4802
30506,2995267.26768
30507,4649749.18845
30508,5431663.25204
30509,7296867.79708
30510,9041132.78837
30511,6512531.47111
30512,6229484.87088
30513,4191384.11582
30514,3086295.83681
30515,9652888.20614
30516,5904780.73324
30517,11527071.8819
30518,8039472.75385
30519,4396534.74598
30520,7173144.18405
30521,5672364.93663
30522,7593755.71859
30523,6683045.84551
30524,10982263.1826
30525,11157407.494
30526,4756645.31036
30527,5124247.48096
30528,6559973.40554
30529,6613863.09451
30530,6184367.75086
30531,14484734.5961
30532,4718217.73094
30533,10757232.6688
30534,6771933.0985
30535,9289257.3493
30536,5859624.56585
30537,11829585.6087
30538,4997111.16657
30539,9630239.32635
30540,9679126.70743
30541,6307396.90343
30542,1972323.66547
30543,5894978.3443
30544,6794719.44818
30545,8393396.71483
30546,4036166.64106
30547,9765064.88593
30548,4511269.41625
30549,5069105.18261
30550,12207998.2336
30551,5013691.86029
30552,1582740.41228
30553,6495373.08042
30554,10190231.6148
30555,6249076.57493
30556,8805550.65603
30557,7216607.54346
30558,9159473.13538
30559,6613280.1354
30560,6001133.01738
30561,6674611.79895
30562,12480370.4012
30563,4984712.10614
30564,7183646.3243
30565,6742559.55581
30566,6965929.53643
30567,1706310.24949
30568,9578824.79247
30569,9593921.77316
30570,6771299.13746
30571,7453064.01728
30572,4815010.47408
30573,6410072.5639
30574,6123841.42299
30575,7667843.93963
30576,4647215.55561
30577,4204192.78641
30578,3107319.82639
30579,6860816.38686
30580,4554797.73613
30581,5648987.66643
30582,13055656.7327
30583,6797008.69863
30584,4300383.58159
30585,2628627.2717
30586,8749873.78449
30587,5885766.35117
30588,8113149.87152
30589,7517227.67022
30590,12365912.0621
30591,5505075.499
30592,6590904.0578
30593,7627456.38163
30594,7627762.94724
30595,5395285.43201
30596,6665064.23986
30597,6412729.01063
30598,9600883.46546
30599,10601330.6226
30600,5538829.49727
30601,5870391.28519
30602,1469098.94162
30603,12411671.8755
30604,4616044.59152
30605,6531832.55733
30606,22357141.1106
30607,6898991.35764
30608,8681618.4342
30609,6171650.31705
30610,2783347.86643
30611,5483106.98303
30612,7262103.95558
30613,8743006.27379
30614,16534580.7284
30615,7433434.54563
30616,5568495.05064
30617,9333746.37785
30618,5028114.23593
30619,4420820.87409
30620,2370533.78334
30621,9016585.14886
30622,7451030.3673
30623,6275076.95485
30624,6557257.10249
30625,8092667.30018
30626,6261527.68109
30627,7134376.20996
30628,6338775.3317
30629,5377016.46786
30630,4873519.26932
30631,5957732.17352
30632,4244553.58835
30633,5985872.47124
30634,11536208.0704
30635,9555432.84605
30636,5475363.17868
30637,9437832.26353
30638,6116874.66541
30639,7422119.48032
30640,4532495.42407
30641,8153790.12229
30642,6534056.91754
30643,7699598.96632
30644,9604560.86846
30645,7372402.62924
30646,5176692.0045
30647,4659064.50913
30648,22663872.8932
30649,1980637.48373
30650,5103042.54208
30651,3105082.51149
30652,4280653.2724
30653,7447285.66011
30654,4477562.766
30655,12505938.1036
30656,4015644.02237
30657,6344059.65808
30658,10228855.2205
30659,4611619.48959
30660,8439147.03559
30661,6682982.90065
30662,8005257.23929
30663,18298355.6621
30664,11916548.7612
30665,6146463.51993
30666,2333064.21034
30667,4239932.40693
30668,8655109.6103
30669,5344148.50377
30670,2573298.99857
30671,7036410.40257
30672,15303406.1145
30673,10329824.8819
30674,10551981.9816
30675,1756739.67554
30676,6851960.24778
30677,4223507.15194
30678,19587452.2301
30679,5896757.59642
30680,5027506.42906
30681,2380320.64321
30682,8981305.58957
30683,9551901.73842
30684,4703079.9382
30685,7626075.85345
30686,9377805.49356
30687,4912936.05845
30688,4475293.92765
30689,14684644.2303
30690,24089176.5131
30691,4394816.13561
30692,5671503.97781
30693,11086407.8171
30694,5696948.81569
30695,6933798.72442
30696,6777418.04075
30697,12611969.2585
30698,7511801.06262
30699,6027666.59553
30700,4925141.088
30701,9605154.8189
30702,6035089.00476
30703,3726051.54579
30704,11188416.4007
30705,8960229.95965
30706,25185650.5226
30707,3352792.95946
30708,13863508.3087
30709,6220982.41351
30710,7201557.45878
30711,4540052.44007
30712,4028966.55522
30713,6106794.29348
30714,6965699.89526
30715,3970162.15444
30716,9551901.73842
30717,6569361.8281
30718,8269107.52059
30719,13773205.4946
30720,7561359.58397
30721,4850292.05279
30722,7484402.20629
30723,6107041.65609
30724,12642469.2368
30725,6642766.95864
30726,12148824.9207
30727,9610617.73066
30728,10732745.3628
30729,2944614.76092
30730,6083575.13832
30731,6318531.66605
30732,4312315.63904
30733,9396572.97878
30734,7015257.83201
30735,5490553.6933
30736,5852331.57651
30737,6939927.50086
30738,6444998.07822
30739,4380188.82253
30740,6671618.92727
30741,11524361.3161
30742,4003235.71174
30743,4821468.43874
30744,9207138.54985
30745,6457244.88195
30746,5657523.04336
30747,15214294.0407
30748,16222651.2871
30749,4825401.07755
30750,6451571.08118
30751,3106334.64142
30752,7150091.20137
30753,9716042.25733
30754,5692443.08494
30755,4539010.51835
30756,6776549.24984
30757,5317918.35309
30758,10383230.878
30759,5653725.09861
30760,3905577.1519
30761,9747368.91513
30762,6800187.35054
30763,11623484.2285
30764,6004417.11954
30765,6131023.77854
30766,3285676.23417
30767,9656740.30782
30768,4028127.02028
30769,7303123.9338
30770,6104434.57009
30771,2410070.41345
30772,8450526.74802
30773,7866787.91911
30774,5599217.57751
30775,12267402.0115
30776,5733804.61897
30777,6257612.36548
30778,8783354.47732
30779,6402317.94782
30780,7752710.51978
30781,6675936.87224
30782,5511367.50567
30783,5585928.59137
30784,3603998.06274
30785,5574096.26519
30786,4112414.50698
30787,5994432.28621
30788,5682227.56981
30789,7249523.36743
30790,6375379.13097
30791,10116045.9766
30792,7097212.76006
30793,12331300.3337
30794,14099254.6575
30795,10996848.5355
30796,11538424.4739
30797,14595504.4587
30798,2744014.83162
30799,9747565.65947
30800,13721250.1336
30801,6159367.62962
30802,19513663.6873
30803,2808262.5757
30804,3745141.2417
30805,15413104.405
30806,7069162.73645
30807,5955569.08799
30808,10214429.9698
30809,4809628.47822
30810,11013353.0071
30811,4338213.88726
30812,5263376.79805
30813,4661081.88117
30814,2651276.13004
30815,3638152.57127
30816,8190728.11254
30817,1579820.53537
30818,7642330.78707
30819,8338532.85203
30820,5269914.34095
30821,24863633.7853
30822,8722823.34391
30823,7198855.6722
30824,3648075.43928
30825,5141220.29642
30826,10561267.5572
30827,5477985.14982
30828,5592352.01935
30829,5509222.09767
30830,8614373.39823
30831,6893214.48217
30832,6249273.37296
30833,5112924.14548
30834,4128698.36839
30835,7768960.63964
30836,6473608.00086
30837,5123751.77823
30838,4356051.81407
30839,5997192.23479
30840,11209066.9493
30841,12455876.456
30842,7228273.96329
30843,5350039.72829
30844,7949042.88814
30845,10334695.5598
30846,4022639.79479
30847,5920148.11585
30848,8228813.22063
30849,4439530.43759
30850,4114161.77686
30851,5114889.15416
30852,6424238.10741
30853,4287736.74045
30854,5665674.9333
30855,7404195.95471
30856,8429810.52725
30857,2102157.35807
30858,4166929.54172
30859,5889555.75832
30860,5838709.22275
30861,8503033.99283
30862,6512411.37917
30863,5431230.50469
30864,6432714.27605
30865,9996828.90566
30866,6861883.72771
30867,5918126.63959
30868,8632519.25841
30869,5711285.53606
30870,4424221.162
30871,8463313.07703
30872,5100583.57108
30873,3853899.49161
30874,5104555.9797
30875,7246379.54363
30876,4943425.10454
30877,10517404.3309
30878,5710945.84711
30879,9714852.02491
30880,6268411.77897
30881,1748407.515
30882,10422910.2006
30883,3599056.90331
30884,5798302.04995
30885,5337550.94403
30886,7568667.27838
30887,5320304.2343
30888,4281914.50047
30889,5449360.59065
30890,7375296.25991
30891,3476646.56065
30892,3566475.50961
30893,4287849.60872
30894,5449869.68821
30895,4358423.80589
30896,6257715.59164
30897,7860981.79064
30898,6852024.43233
30899,6449704.30826
30900,3243142.77911
30901,6778280.90346
30902,1868894.22972
30903,7310734.82701
30904,7883654.43327
30905,5802950.07675
30906,5943591.33114
30907,12252561.1503
30908,4288822.51983
30909,12955421.8938
30910,6698471.4643
30911,4209958.48695
30912,6561209.39946
30913,21278860.5975
30914,6129492.01448
30915,8594282.25361
30916,5601105.574
30917,8799020.58398
30918,6771512.08291
30919,4810284.45412
30920,4967703.95167
30921,4001060.42986
30922,5777015.2268
30923,3447577.8475
30924,5200410.4194
30925,14232377.3843
30926,6769605.09509
30927,8007286.96662
30928,5251957.94153
30929,5202175.98896
30930,10185211.748
30931,11347556.0553
30932,5068819.54543
30933,4625436.75531
30934,13946169.0218
30935,6731002.23784
30936,7095841.12409
30937,8782671.26744
30938,4256012.96057
30939,10362033.2899
30940,6502293.98293
30941,6413923.30857
30942,3883580.01205
30943,6716288.71109
30944,5038224.21505
30945,3731856.00612
30946,12985931.26
30947,7273488.97896
30948,8527217.48818
30949,6087091.46693
30950,6444809.54534
30951,16684102.4828
30952,7594054.51371
30953,9999094.27745
30954,4770669.53808
30955,6782528.26528
30956,6826836.15113
30957,5856158.35459
